Temperature, Year, Month_Avg, Country, Country_Code
10.23(C) 50.41(F), 2015, Apr, Moldova, MDA
10.23(C) 50.41(F), 2015, Sep, Mongolia, MNG
10.23(C) 50.41(F), 2010, May, Argentina, ARG
10.23(C) 50.42(F), 2014, Mar, Chile, CHL
10.23(C) 50.42(F), 2008, Jul, Iceland, ISL
10.23(C) 50.42(F), 2010, Oct, Bulgaria, BGR
10.24(C) 50.43(F), 2006, Dec, Pakistan, PAK
10.24(C) 50.43(F), 2000, Feb, Pakistan, PAK
10.24(C) 50.43(F), 2010, Apr, Romania, ROU
10.24(C) 50.43(F), 2011, Oct, Hungary, HUN
10.24(C) 50.43(F), 2016, Mar, Uzbekistan, UZB
10.24(C) 50.43(F), 2014, May, Kyrgyzstan, KGZ
10.24(C) 50.43(F), 2001, Jan, Iraq, IRQ
10.24(C) 50.43(F), 2006, Apr, Macedonia, MKD
10.24(C) 50.44(F), 2011, Dec, Jordan, JOR
10.24(C) 50.44(F), 2002, Mar, Chile, CHL
10.25(C) 50.44(F), 2012, Apr, Bosnia, and
10.25(C) 50.44(F), 2000, Sep, Faroe, Islands
10.25(C) 50.44(F), 2003, Sep, Faroe, Islands
10.25(C) 50.44(F), 2011, Jul, Faroe, Islands
10.25(C) 50.44(F), 2009, Sep, Mongolia, MNG
10.25(C) 50.45(F), 2009, Nov, Bhutan, BTN
10.25(C) 50.45(F), 2012, Feb, Malta, MLT
10.25(C) 50.45(F), 2010, Nov, Turkmenistan, TKM
10.25(C) 50.46(F), 2014, Dec, Syria, SYR
10.26(C) 50.46(F), 2003, Apr, Italy, ITA
10.26(C) 50.46(F), 2004, Apr, Romania, ROU
10.26(C) 50.47(F), 2014, Jun, Liechtenstein, LIE
10.26(C) 50.47(F), 2010, Jan, Pakistan, PAK
10.26(C) 50.47(F), 2008, May, Argentina, ARG
10.26(C) 50.47(F), 2005, Apr, Albania, ALB
10.27(C) 50.48(F), 2006, Dec, Morocco, MAR
10.27(C) 50.48(F), 2009, Mar, Bhutan, BTN
10.27(C) 50.48(F), 2005, Nov, Chile, CHL
10.27(C) 50.49(F), 2005, Feb, Jordan, JOR
10.27(C) 50.49(F), 2013, Apr, Slovenia, SVN
10.27(C) 50.49(F), 2000, Sep, Estonia, EST
10.27(C) 50.49(F), 2009, Sep, Kyrgyzstan, KGZ
10.27(C) 50.49(F), 2008, Aug, Canada, CAN
10.28(C) 50.5(F), 2011, Nov, Iran, IRN
10.28(C) 50.5(F), 2011, Nov, Andorra, AND
10.28(C) 50.5(F), 2010, Oct, Netherlands, NLD
10.28(C) 50.5(F), 2005, Apr, Belgium, BEL
10.28(C) 50.51(F), 2009, Apr, Republic, of
10.28(C) 50.51(F), 2011, Oct, Republic, of
10.28(C) 50.51(F), 2013, Aug, Canada, CAN
10.29(C) 50.51(F), 2001, Sep, Tajikistan, TJK
10.29(C) 50.52(F), 2009, Sep, Finland, FIN
10.29(C) 50.52(F), 2000, Nov, Albania, ALB
10.29(C) 50.52(F), 2013, May, Lesotho, LSO
10.29(C) 50.52(F), 2010, May, Ireland, IRL
10.29(C) 50.52(F), 2007, Oct, Georgia, GEO
10.29(C) 50.53(F), 2003, Oct, France, FRA
10.3(C) 50.53(F), 2010, Aug, Liechtenstein, LIE
10.3(C) 50.54(F), 2008, Oct, Belgium, BEL
10.3(C) 50.54(F), 2008, Jun, Liechtenstein, LIE
10.3(C) 50.54(F), 2006, Apr, France, FRA
10.3(C) 50.55(F), 2011, Apr, Monaco, MCO
10.3(C) 50.55(F), 2009, Aug, Canada, CAN
10.3(C) 50.55(F), 2011, Apr, Moldova, MDA
10.31(C) 50.55(F), 2003, Jun, Faroe, Islands
10.31(C) 50.55(F), 2009, Oct, Netherlands, NLD
10.31(C) 50.56(F), 2007, Sep, Austria, AUT
10.31(C) 50.57(F), 2002, Oct, Belgium, BEL
10.32(C) 50.57(F), 2005, Apr, Italy, ITA
10.32(C) 50.58(F), 2015, Apr, Japan, JPN
10.32(C) 50.58(F), 2016, Oct, Ireland, IRL
10.33(C) 50.59(F), 2004, Aug, Lesotho, LSO
10.33(C) 50.59(F), 2009, Mar, Lebanon, LBN
10.33(C) 50.59(F), 2007, Oct, Belgium, BEL
10.33(C) 50.6(F), 2007, Jan, Cyprus, CYP
10.33(C) 50.6(F), 2007, Apr, Romania, ROU
10.34(C) 50.61(F), 2015, Oct, Ireland, IRL
10.34(C) 50.61(F), 2007, Oct, United, Kingdom
10.34(C) 50.61(F), 2001, Oct, Switzerland, CHE
10.34(C) 50.61(F), 2010, Oct, Belgium, BEL
10.34(C) 50.61(F), 2011, May, Tajikistan, TJK
10.34(C) 50.61(F), 2005, Apr, Moldova, MDA
10.34(C) 50.62(F), 2010, Apr, Macedonia, MKD
10.34(C) 50.62(F), 2016, Sep, Sweden, SWE
10.34(C) 50.62(F), 2003, Nov, Chile, CHL
10.34(C) 50.62(F), 2001, May, Estonia, EST
10.36(C) 50.64(F), 2011, Sep, Faroe, Islands
10.36(C) 50.65(F), 2011, Apr, Ireland, IRL
10.36(C) 50.65(F), 2014, Apr, Ukraine, UKR
10.36(C) 50.65(F), 2002, May, Georgia, GEO
10.36(C) 50.65(F), 2013, Jan, Iraq, IRQ
10.36(C) 50.65(F), 2002, Oct, Hungary, HUN
10.36(C) 50.65(F), 2005, May, Lesotho, LSO
10.36(C) 50.65(F), 2013, Oct, Slovakia, SVK
10.36(C) 50.65(F), 2002, Jan, Israel, ISR
10.37(C) 50.66(F), 2006, Jun, Liechtenstein, LIE
10.37(C) 50.66(F), 2012, Oct, Netherlands, NLD
10.37(C) 50.67(F), 2007, Apr, Ireland, IRL
10.37(C) 50.67(F), 2002, Apr, Albania, ALB
10.37(C) 50.67(F), 2004, Jan, Morocco, MAR
10.37(C) 50.67(F), 2005, Apr, France, FRA
10.37(C) 50.67(F), 2003, Apr, New, Zealand
10.37(C) 50.67(F), 2011, Oct, Bulgaria, BGR
10.37(C) 50.67(F), 2014, Jan, Jordan, JOR
10.38(C) 50.68(F), 2004, Apr, Belgium, BEL
10.38(C) 50.68(F), 2012, May, United, Kingdom
10.38(C) 50.68(F), 2006, Sep, Sweden, SWE
10.38(C) 50.69(F), 2016, Dec, Cyprus, CYP
10.38(C) 50.69(F), 2007, Oct, Hungary, HUN
10.38(C) 50.69(F), 2011, Dec, Morocco, MAR
10.38(C) 50.69(F), 2014, Dec, Morocco, MAR
10.39(C) 50.69(F), 2005, Dec, Morocco, MAR
10.39(C) 50.7(F), 2001, May, Mongolia, MNG
10.39(C) 50.7(F), 2005, May, Argentina, ARG
10.39(C) 50.7(F), 2006, Feb, Morocco, MAR
10.39(C) 50.7(F), 2015, May, Switzerland, CHE
10.39(C) 50.71(F), 2016, Oct, New, Zealand
10.39(C) 50.71(F), 2009, Sep, Faroe, Islands
10.39(C) 50.71(F), 2003, Feb, Malta, MLT
10.4(C) 50.71(F), 2016, Dec, Iraq, IRQ
10.4(C) 50.71(F), 2002, Apr, Croatia, HRV
10.4(C) 50.72(F), 2005, Oct, Macedonia, MKD
10.4(C) 50.72(F), 2004, Sep, Faroe, Islands
10.4(C) 50.72(F), 2001, Apr, Bulgaria, BGR
10.4(C) 50.72(F), 2011, Apr, New, Zealand
10.4(C) 50.72(F), 2010, May, Netherlands, NLD
10.4(C) 50.72(F), 2000, Aug, Norway, NOR
10.4(C) 50.73(F), 2013, May, Monaco, MCO
10.41(C) 50.74(F), 2007, Apr, Macedonia, MKD
10.41(C) 50.74(F), 2009, Apr, Ukraine, UKR
10.42(C) 50.75(F), 2016, Aug, Lesotho, LSO
10.42(C) 50.75(F), 2015, May, Estonia, EST
10.42(C) 50.75(F), 2001, Apr, Hungary, HUN
10.42(C) 50.75(F), 2013, Jan, Morocco, MAR
10.42(C) 50.75(F), 2006, Apr, Romania, ROU
10.42(C) 50.76(F), 2010, May, Mongolia, MNG
10.42(C) 50.76(F), 2007, Jul, Faroe, Islands
10.43(C) 50.77(F), 2015, Oct, Bosnia, and
10.43(C) 50.77(F), 2006, Apr, Bosnia, and
10.43(C) 50.78(F), 2000, Sep, Latvia, LVA
10.43(C) 50.78(F), 2015, May, Kyrgyzstan, KGZ
10.44(C) 50.79(F), 2016, Aug, Argentina, ARG
10.44(C) 50.79(F), 2012, Jun, Sweden, SWE
10.44(C) 50.8(F), 2014, Oct, Slovakia, SVK
10.45(C) 50.8(F), 2010, Sep, Kyrgyzstan, KGZ
10.45(C) 50.81(F), 2013, Mar, Bhutan, BTN
10.45(C) 50.81(F), 2009, Oct, United, Kingdom
10.45(C) 50.81(F), 2015, Sep, Faroe, Islands
10.45(C) 50.81(F), 2002, Apr, Andorra, AND
10.45(C) 50.82(F), 2004, May, Lesotho, LSO
10.45(C) 50.82(F), 2016, Apr, Japan, JPN
10.45(C) 50.82(F), 2008, Jan, Portugal, PRT
10.45(C) 50.82(F), 2011, Sep, Finland, FIN
10.46(C) 50.82(F), 2010, Feb, Lebanon, LBN
10.46(C) 50.83(F), 2013, Apr, Kazakhstan, KAZ
10.46(C) 50.83(F), 2012, May, Switzerland, CHE
10.46(C) 50.83(F), 2013, Oct, Poland, POL
10.47(C) 50.84(F), 2002, Apr, France, FRA
10.47(C) 50.84(F), 2005, Apr, Bulgaria, BGR
10.47(C) 50.84(F), 2011, Jan, Jordan, JOR
10.47(C) 50.84(F), 2016, May, Lesotho, LSO
10.47(C) 50.85(F), 2002, Apr, New, Zealand
10.47(C) 50.85(F), 2000, Apr, Republic, of
10.47(C) 50.85(F), 2008, Jan, Kuwait, KWT
10.47(C) 50.85(F), 2006, Mar, Bhutan, BTN
10.48(C) 50.86(F), 2005, Sep, Mongolia, MNG
10.48(C) 50.86(F), 2007, Aug, Liechtenstein, LIE
10.48(C) 50.86(F), 2009, Dec, Syria, SYR
10.48(C) 50.86(F), 2008, Nov, Portugal, PRT
10.48(C) 50.87(F), 2014, Nov, Andorra, AND
10.48(C) 50.87(F), 2011, Apr, Poland, POL
10.48(C) 50.87(F), 2004, Oct, Germany, DEU
10.48(C) 50.87(F), 2014, Jun, Faroe, Islands
10.48(C) 50.87(F), 2011, Apr, Slovakia, SVK
10.48(C) 50.87(F), 2011, Apr, Kazakhstan, KAZ
10.49(C) 50.87(F), 2006, Oct, Armenia, ARM
10.49(C) 50.87(F), 2013, Feb, Lebanon, LBN
10.49(C) 50.88(F), 2001, Nov, Portugal, PRT
10.49(C) 50.88(F), 2001, Mar, Chile, CHL
10.49(C) 50.88(F), 2009, Apr, Macedonia, MKD
10.49(C) 50.89(F), 2008, Apr, Macedonia, MKD
10.49(C) 50.89(F), 2005, Dec, Lebanon, LBN
10.5(C) 50.9(F), 2007, Mar, Bhutan, BTN
10.5(C) 50.9(F), 2008, Sep, Estonia, EST
10.5(C) 50.91(F), 2002, Feb, Portugal, PRT
10.5(C) 50.91(F), 2005, May, Estonia, EST
10.5(C) 50.91(F), 2006, Oct, Slovakia, SVK
10.5(C) 50.91(F), 2003, Mar, Spain, ESP
10.51(C) 50.91(F), 2010, Sep, Mongolia, MNG
10.51(C) 50.91(F), 2008, Mar, Greece, GRC
10.51(C) 50.92(F), 2007, Dec, Jordan, JOR
10.51(C) 50.92(F), 2000, Apr, Spain, ESP
10.51(C) 50.92(F), 2000, Apr, Germany, DEU
10.51(C) 50.92(F), 2016, Jan, Cyprus, CYP
10.51(C) 50.92(F), 2012, Mar, Iran, IRN
10.51(C) 50.93(F), 2009, Nov, Greece, GRC
10.52(C) 50.93(F), 2010, Feb, Syria, SYR
10.52(C) 50.93(F), 2006, May, Ireland, IRL
10.52(C) 50.94(F), 2005, Dec, Pakistan, PAK
10.52(C) 50.94(F), 2016, Dec, Jordan, JOR
10.52(C) 50.94(F), 2000, Mar, Syria, SYR
10.52(C) 50.94(F), 2010, Nov, Bulgaria, BGR
10.52(C) 50.94(F), 2005, Oct, Moldova, MDA
10.53(C) 50.95(F), 2004, Nov, Greece, GRC
10.53(C) 50.95(F), 2007, Apr, Korea., Republic
10.53(C) 50.95(F), 2002, Jul, South, Africa
10.53(C) 50.95(F), 2006, Aug, Canada, CAN
10.53(C) 50.96(F), 2004, May, Estonia, EST
10.53(C) 50.96(F), 2012, Nov, New, Zealand
10.54(C) 50.96(F), 2011, May, Kyrgyzstan, KGZ
10.54(C) 50.97(F), 2015, Aug, Canada, CAN
10.54(C) 50.97(F), 2016, Jan, Portugal, PRT
10.54(C) 50.97(F), 2003, Aug, Canada, CAN
10.54(C) 50.98(F), 2015, Oct, Hungary, HUN
10.55(C) 50.98(F), 2014, Oct, Poland, POL
10.55(C) 50.99(F), 2011, Sep, Liechtenstein, LIE
10.55(C) 50.99(F), 2001, Aug, Argentina, ARG
10.55(C) 50.99(F), 2001, Apr, Ukraine, UKR
10.55(C) 50.99(F), 2014, Nov, Iran, IRN
10.55(C) 51.0(F), 2008, Dec, Iraq, IRQ
10.55(C) 51.0(F), 2012, May, Ireland, IRL
10.56(C) 51.0(F), 2000, May, Tajikistan, TJK
10.56(C) 51.0(F), 2011, Aug, Faroe, Islands
10.56(C) 51.0(F), 2003, May, Ireland, IRL
10.56(C) 51.01(F), 2014, Jan, Morocco, MAR
10.56(C) 51.01(F), 2003, Apr, Andorra, AND
10.56(C) 51.01(F), 2006, May, United, Kingdom
10.56(C) 51.01(F), 2004, Jan, Cyprus, CYP
10.57(C) 51.02(F), 2008, Apr, Armenia, ARM
10.57(C) 51.02(F), 2015, Feb, Pakistan, PAK
10.57(C) 51.03(F), 2012, May, Lesotho, LSO
10.57(C) 51.03(F), 2010, Nov, Nepal, NPL
10.57(C) 51.03(F), 2001, Feb, Portugal, PRT
10.58(C) 51.04(F), 2011, Nov, Chile, CHL
10.58(C) 51.04(F), 2008, Apr, Romania, ROU
10.58(C) 51.05(F), 2012, Apr, Spain, ESP
10.58(C) 51.05(F), 2005, Apr, Croatia, HRV
10.58(C) 51.05(F), 2005, Mar, Bhutan, BTN
10.58(C) 51.05(F), 2008, Feb, Iraq, IRQ
10.58(C) 51.05(F), 2007, Aug, Faroe, Islands
10.59(C) 51.05(F), 2006, May, Kyrgyzstan, KGZ
10.59(C) 51.07(F), 2005, Feb, Iraq, IRQ
10.59(C) 51.07(F), 2007, Apr, Moldova, MDA
10.59(C) 51.07(F), 2016, Oct, Croatia, HRV
10.59(C) 51.07(F), 2006, May, Tajikistan, TJK
10.6(C) 51.07(F), 2004, Apr, Italy, ITA
10.6(C) 51.07(F), 2014, Aug, Canada, CAN
10.6(C) 51.08(F), 2008, May, Georgia, GEO
10.6(C) 51.08(F), 2015, Sep, Finland, FIN
10.6(C) 51.08(F), 2003, Feb, Tunisia, TUN
10.61(C) 51.09(F), 2016, Apr, Republic, of
10.61(C) 51.1(F), 2005, Apr, Republic, of
10.62(C) 51.11(F), 2016, Sep, Liechtenstein, LIE
10.62(C) 51.11(F), 2015, Jan, Iraq, IRQ
10.62(C) 51.12(F), 2007, Mar, Lebanon, LBN
10.62(C) 51.12(F), 2008, May, Tajikistan, TJK
10.62(C) 51.12(F), 2013, Mar, Chile, CHL
10.62(C) 51.12(F), 2014, Dec, Lebanon, LBN
10.63(C) 51.13(F), 2015, Sep, Switzerland, CHE
10.63(C) 51.13(F), 2014, Oct, Uzbekistan, UZB
10.63(C) 51.14(F), 2013, Feb, Syria, SYR
10.63(C) 51.14(F), 2014, Nov, New, Zealand
10.64(C) 51.14(F), 2016, May, Finland, FIN
10.64(C) 51.14(F), 2006, May, Austria, AUT
10.64(C) 51.15(F), 2014, Oct, Romania, ROU
10.64(C) 51.15(F), 2010, Oct, Monaco, MCO
10.64(C) 51.15(F), 2000, Jan, Israel, ISR
10.64(C) 51.15(F), 2007, Oct, Republic, of
10.64(C) 51.16(F), 2013, May, Finland, FIN
10.65(C) 51.16(F), 2008, Apr, Italy, ITA
10.65(C) 51.17(F), 2010, Nov, Albania, ALB
10.65(C) 51.17(F), 2007, Dec, Morocco, MAR
10.65(C) 51.17(F), 2000, Oct, Moldova, MDA
10.66(C) 51.18(F), 2011, Mar, Nepal, NPL
10.66(C) 51.18(F), 2002, Oct, Bosnia, and
10.66(C) 51.19(F), 2010, Apr, Andorra, AND
10.66(C) 51.19(F), 2008, Sep, Faroe, Islands
10.66(C) 51.2(F), 2011, Nov, Spain, ESP
10.67(C) 51.2(F), 2009, Oct, Bosnia, and
10.67(C) 51.2(F), 2015, Sep, Tajikistan, TJK
10.67(C) 51.21(F), 2015, Apr, Republic, of
10.67(C) 51.21(F), 2002, Jul, Faroe, Islands
10.67(C) 51.21(F), 2003, May, United, Kingdom
10.67(C) 51.21(F), 2015, Jun, Liechtenstein, LIE
10.67(C) 51.21(F), 2002, Nov, New, Zealand
10.68(C) 51.22(F), 2012, Nov, Chile, CHL
10.68(C) 51.22(F), 2004, Mar, Afghanistan, AFG
10.68(C) 51.22(F), 2005, Jan, Algeria, DZA
10.68(C) 51.22(F), 2012, Jun, Liechtenstein, LIE
10.68(C) 51.22(F), 2009, Mar, Nepal, NPL
10.68(C) 51.23(F), 2016, Nov, Greece, GRC
10.68(C) 51.23(F), 2014, Apr, Slovenia, SVN
10.68(C) 51.23(F), 2002, Sep, Faroe, Islands
10.68(C) 51.23(F), 2012, Nov, Italy, ITA
10.69(C) 51.23(F), 2001, Aug, Canada, CAN
10.69(C) 51.23(F), 2002, Nov, Italy, ITA
10.69(C) 51.24(F), 2001, Apr, New, Zealand
10.69(C) 51.24(F), 2004, Apr, Moldova, MDA
10.69(C) 51.24(F), 2002, May, Ireland, IRL
10.69(C) 51.25(F), 2010, May, Germany, DEU
10.69(C) 51.25(F), 2014, Apr, Czech, Republic
10.69(C) 51.25(F), 2010, Sep, Tajikistan, TJK
10.7(C) 51.25(F), 2002, Apr, Italy, ITA
10.7(C) 51.25(F), 2008, Oct, Ukraine, UKR
10.7(C) 51.25(F), 2008, Aug, Norway, NOR
10.7(C) 51.26(F), 2009, Oct, Romania, ROU
10.7(C) 51.27(F), 2010, Dec, Lebanon, LBN
10.71(C) 51.27(F), 2015, Apr, Albania, ALB
10.71(C) 51.27(F), 2010, Mar, Turkmenistan, TKM
10.71(C) 51.28(F), 2006, Sep, Kyrgyzstan, KGZ
10.71(C) 51.28(F), 2003, Dec, Morocco, MAR
10.71(C) 51.28(F), 2009, May, Ireland, IRL
10.71(C) 51.28(F), 2001, May, Georgia, GEO
10.71(C) 51.29(F), 2016, Mar, Portugal, PRT
10.71(C) 51.29(F), 2007, May, United, Kingdom
10.71(C) 51.29(F), 2016, Nov, Chile, CHL
10.72(C) 51.29(F), 2005, Oct, Slovenia, SVN
10.72(C) 51.29(F), 2011, Jul, South, Africa
10.72(C) 51.29(F), 2013, Feb, Pakistan, PAK
10.72(C) 51.29(F), 2012, Oct, Slovenia, SVN
10.72(C) 51.29(F), 2011, Oct, Luxembourg, LUX
10.72(C) 51.29(F), 2005, Jun, Liechtenstein, LIE
10.72(C) 51.3(F), 2002, May, Armenia, ARM
10.73(C) 51.31(F), 2009, Jun, Uruguay, URY
10.73(C) 51.31(F), 2009, Dec, Lebanon, LBN
10.73(C) 51.31(F), 2005, Feb, Malta, MLT
10.73(C) 51.31(F), 2016, Aug, Norway, NOR
10.73(C) 51.31(F), 2006, Apr, Andorra, AND
10.73(C) 51.32(F), 2003, Apr, Greece, GRC
10.74(C) 51.32(F), 2013, Oct, Moldova, MDA
10.74(C) 51.32(F), 2000, Dec, Portugal, PRT
10.74(C) 51.32(F), 2011, Jul, Uruguay, URY
10.74(C) 51.33(F), 2000, Apr, Korea., Republic
10.74(C) 51.33(F), 2000, Jun, Sweden, SWE
